X,Y,Type
-49.3506,207.048,muon
-49.3506,207.048,total
-34.4633,-42.9474,muon
-34.4633,-42.9474,total
-1472.07,761.036,muon
-1472.07,761.036,total
8.10545,-109.946,muon
8.10545,-109.946,total
-784.42,-30.6049,muon
-784.42,-30.6049,total
-78.8536,-64.562,muon
-78.8536,-64.562,total
218.471,-103.073,muon
218.471,-103.073,total
-238.235,181.388,muon
-238.235,181.388,total
-39.4494,-15.5435,muon
-39.4494,-15.5435,total
280.165,-150.995,muon
280.165,-150.995,total
137.119,184.98,muon
137.119,184.98,total
-42.6466,10.3601,muon
-42.6466,10.3601,total
-70.772,49.8558,muon
-70.772,49.8558,total
268.709,-71.57,muon
268.709,-71.57,total
189.182,32.8015,muon
189.182,32.8015,total
188.612,-2.05861,electron
188.612,-2.05861,total
-104.723,20.0521,muon
-104.723,20.0521,total
1779.11,-344.997,muon
1779.11,-344.997,total
-34.8982,7.74357,muon
-34.8982,7.74357,total
47.4602,16.6333,muon
47.4602,16.6333,total
266.637,-138.912,muon
266.637,-138.912,total
-230.13,133.962,muon
-230.13,133.962,total
410.909,-348.373,muon
410.909,-348.373,total
1267.35,-408.041,muon
1267.35,-408.041,total
307.416,-1018.06,muon
307.416,-1018.06,total
-148.421,-35.5551,muon
-148.421,-35.5551,total
1098.61,-235.528,muon
1098.61,-235.528,total
-28.8417,136.946,muon
-28.8417,136.946,total
404.72,-211.638,muon
404.72,-211.638,total
-15.5204,124.768,muon
-15.5204,124.768,total
-35.4279,-4.51357,muon
-35.4279,-4.51357,total
842.987,-43.8176,muon
842.987,-43.8176,total
-753.71,-87.4325,muon
-753.71,-87.4325,total
-66.8369,-31.3687,muon
-66.8369,-31.3687,total
-126.686,137.285,muon
-126.686,137.285,total
-974.641,-469.404,muon
-974.641,-469.404,total
370.369,273.297,muon
370.369,273.297,total
129.951,44.2644,muon
129.951,44.2644,total
155.504,-37.811,muon
155.504,-37.811,total
1170.16,-534.035,muon
1170.16,-534.035,total
-141.169,55.7666,muon
-141.169,55.7666,total
-173.399,118.353,muon
-173.399,118.353,total
153.453,76.3566,muon
153.453,76.3566,total
-188.086,-152.457,muon
-188.086,-152.457,total
81.3532,-20.0783,muon
81.3532,-20.0783,total
-202.282,-32.7377,muon
-202.282,-32.7377,total
2137.98,956.718,electron
2137.98,956.718,total
-9.21363,-443.773,muon
-9.21363,-443.773,total
3.04728,-29.9596,muon
3.04728,-29.9596,total
904.371,-92.9816,muon
904.371,-92.9816,total
-805.5,-9.51403,muon
-805.5,-9.51403,total
-14.1938,256.589,muon
-14.1938,256.589,total
-76.3058,-627.519,muon
-76.3058,-627.519,total
-627.732,62.4145,muon
-627.732,62.4145,total
-85.4339,450.93,muon
-85.4339,450.93,total
-353.751,67.43,muon
-353.751,67.43,total
348.014,109.402,muon
348.014,109.402,total
-511.334,-321.243,muon
-511.334,-321.243,total
78.8915,57.7858,muon
78.8915,57.7858,total
-70.5802,-51.4968,muon
-70.5802,-51.4968,total
-20.2113,-121.452,muon
-20.2113,-121.452,total
296.734,-157.242,muon
296.734,-157.242,total
495.383,21.1935,muon
495.383,21.1935,total
-80.7183,-100.191,muon
-80.7183,-100.191,total
23.6491,-6.86112,muon
23.6491,-6.86112,total
-106.421,62.415,muon
-106.421,62.415,total
-117.334,94.6047,muon
-117.334,94.6047,total
-128.903,44.9506,muon
-128.903,44.9506,total
262.163,0.546018,muon
262.163,0.546018,total
0.0842754,-189.103,muon
0.0842754,-189.103,total
206.51,49.7342,muon
206.51,49.7342,total
610.763,185.267,muon
610.763,185.267,total
-61.751,-510.433,muon
-61.751,-510.433,total
775.486,105.598,electron
775.486,105.598,total
-69.4817,24.9315,muon
-69.4817,24.9315,total
-63.9865,-348.329,muon
-63.9865,-348.329,total
-144.028,87.8969,muon
-144.028,87.8969,total
1214.05,218.273,muon
1214.05,218.273,total
-44.5997,17.3193,muon
-44.5997,17.3193,total
225.262,62.8291,muon
225.262,62.8291,total
53.0523,-132.392,muon
53.0523,-132.392,total
25.1074,234.304,muon
25.1074,234.304,total
121.556,-16.4767,muon
121.556,-16.4767,total
2216.78,2198.94,muon
2216.78,2198.94,total
1336.71,138.476,muon
1336.71,138.476,total
460.88,-152.145,muon
460.88,-152.145,total
-551.113,168.809,muon
-551.113,168.809,total
164.093,-904.619,muon
164.093,-904.619,total
66.0359,-56.0987,muon
66.0359,-56.0987,total
-84.894,8.08108,muon
-84.894,8.08108,total
-49.4141,-28.8905,muon
-49.4141,-28.8905,total
77.6418,-154.419,electron
77.6418,-154.419,total
76.5447,-16.0584,muon
76.5447,-16.0584,total
-107.008,-23.4897,muon
-107.008,-23.4897,total
388.214,-742.671,muon
388.214,-742.671,total
1119.64,496.511,muon
1119.64,496.511,total
-35.2809,788.16,muon
-35.2809,788.16,total
-81.9837,33.3802,muon
-81.9837,33.3802,total
975.664,-740.679,muon
975.664,-740.679,total
-8.13781,-77.3573,muon
-8.13781,-77.3573,total
-48.7685,45.3115,muon
-48.7685,45.3115,total
68.2303,-221.508,muon
68.2303,-221.508,total
-257.502,-9.78202,muon
-257.502,-9.78202,total
-37.5155,81.7096,muon
-37.5155,81.7096,total
297.249,-140.055,muon
297.249,-140.055,total
-322.586,37.553,muon
-322.586,37.553,total
-94.1358,-13.6648,muon
-94.1358,-13.6648,total
84.2288,-195.525,muon
84.2288,-195.525,total
-62.1196,-0.457188,muon
-62.1196,-0.457188,total
759.816,-507.21,muon
759.816,-507.21,total
50.2076,-36.1385,muon
50.2076,-36.1385,total
45.0367,-74.1971,muon
45.0367,-74.1971,total
1931.96,-1164.34,electron
1931.96,-1164.34,total
74.1247,209.403,muon
74.1247,209.403,total
106.098,-26.2751,muon
106.098,-26.2751,total
-339.309,-121.426,muon
-339.309,-121.426,total
102.676,-18.4209,muon
102.676,-18.4209,total
127.902,-60.1245,muon
127.902,-60.1245,total
84.7547,36.734,muon
84.7547,36.734,total
-424.497,-169.497,muon
-424.497,-169.497,total
-229.761,-56.9866,muon
-229.761,-56.9866,total
-288.801,-46.7019,muon
-288.801,-46.7019,total
811.469,-533.917,muon
811.469,-533.917,total
-507.271,-42.6555,muon
-507.271,-42.6555,total
316.131,-95.2212,muon
316.131,-95.2212,total
-189.108,34.193,muon
-189.108,34.193,total
45.8734,70.7287,muon
45.8734,70.7287,total
-128.848,5.13364,muon
-128.848,5.13364,total
158.33,16.5866,muon
158.33,16.5866,total
1351.09,904.084,muon
1351.09,904.084,total
224.934,-121.656,muon
224.934,-121.656,total
-340.38,14.3372,muon
-340.38,14.3372,total
-298.856,-4.92778,muon
-298.856,-4.92778,total
503.744,-172.755,muon
503.744,-172.755,total
361.186,216.515,muon
361.186,216.515,total
161.139,96.2051,muon
161.139,96.2051,total
-92.5518,-47.473,muon
-92.5518,-47.473,total
-561.066,-92.6375,muon
-561.066,-92.6375,total
905.941,-25.454,muon
905.941,-25.454,total
199.87,54.0625,muon
199.87,54.0625,total
263.107,83.0958,muon
263.107,83.0958,total
514.089,-362.892,muon
514.089,-362.892,total
-167.124,-387.129,muon
-167.124,-387.129,total
-232.438,48.6821,muon
-232.438,48.6821,total
-71.233,-175.273,nucleus
-71.233,-175.273,total
39.6569,34.9688,muon
39.6569,34.9688,total
-1595.02,-90.0821,muon
-1595.02,-90.0821,total
37.4488,-31.5087,muon
37.4488,-31.5087,total
-260.741,-143.529,muon
-260.741,-143.529,total
-838.094,729.539,muon
-838.094,729.539,total
-779.541,-289.615,muon
-779.541,-289.615,total
-19.7263,-59.5698,muon
-19.7263,-59.5698,total
-86.9121,9.93175,muon
-86.9121,9.93175,total
-55.2935,73.6986,muon
-55.2935,73.6986,total
-170.815,46.8844,muon
-170.815,46.8844,total
-56.8682,140.121,muon
-56.8682,140.121,total
300.161,-85.927,muon
300.161,-85.927,total
-722.383,-190.073,muon
-722.383,-190.073,total
-243.636,200.086,muon
-243.636,200.086,total
217.361,93.105,muon
217.361,93.105,total
-269.621,-10.8926,muon
-269.621,-10.8926,total
-119.657,-10.1656,muon
-119.657,-10.1656,total
-48.8998,10.0007,muon
-48.8998,10.0007,total
1711.62,-204.528,muon
1711.62,-204.528,total
-76.5454,-601.402,muon
-76.5454,-601.402,total
11.0481,-58.3363,muon
11.0481,-58.3363,total
173.773,78.1262,muon
173.773,78.1262,total
41.743,-35.2321,muon
41.743,-35.2321,total
316.326,-5.13703,muon
316.326,-5.13703,total
